0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:28:52 +0900] "GET /mytest04/thumbnails.do?goods_id=397&fileName=main_react.jpg HTTP/1.1" 200 26070
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:29:04 +0900] "GET /mytest04/member/memberForm.do HTTP/1.1" 200 21627
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:29:04 +0900] "GET /mytest04/resources/css/tablet.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:29:04 +0900] "GET /mytest04/resources/css/smartphone.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:29:04 +0900] "GET /mytest04/resources/image/loginForm.png HTTP/1.1" 200 27608
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:29:04 +0900] "GET /mytest04/resources/imgs/body_back.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:29:04 +0900] "GET /mytest04/resources/imgs/nav_back.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:29:04 +0900] "GET /mytest04/resources/imgs/nanum.woff HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:29:04 +0900] "GET /mytest04/resources/imgs/nanum.ttf HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:29:04 +0900] "GET /mytest04/resources/imgs/foo_back.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:29:04 +0900] "GET /mytest04/resources/imgs/sticky_line.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:29:04 +0900] "GET /mytest04/resources/imgs/foot_line.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:29:05 +0900] "GET /mytest04/member/loginForm.do HTTP/1.1" 200 15734
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:29:05 +0900] "GET /mytest04/resources/css/tablet.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:29:05 +0900] "GET /mytest04/resources/css/smartphone.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:29:05 +0900] "GET /mytest04/resources/imgs/body_back.gif HTTP/1.1" 404 721
